Placeholder,District,Mandal
Mandal_District_31_1,Warangal Rural,Atmakur
Mandal_District_31_2,Warangal Rural,Chennaraopeta
Mandal_District_31_3,Warangal Rural,Damera
Mandal_District_31_4,Warangal Rural,Duggondi
Mandal_District_31_5,Warangal Rural,Geesugonda
Mandal_District_31_6,Warangal Rural,Khanapur
Mandal_District_31_7,Warangal Rural,Nadikuda
Mandal_District_31_8,Warangal Rural,Nallabelly
Mandal_District_31_9,Warangal Rural,Narsampet
Mandal_District_31_10,Warangal Rural,Nekkonda
Mandal_District_31_11,Warangal Rural,Parkal
Mandal_District_31_12,Warangal Rural,Parvathagiri
Mandal_District_31_13,Warangal Rural,Raiparthy
Mandal_District_31_14,Warangal Rural,Sangem
Mandal_District_31_15,Warangal Rural,Shayampet
Mandal_District_31_16,Warangal Rural,Wardhannapet
Mandal_District_32_1,Warangal Urban,Bheemadevarapalle
Mandal_District_32_2,Warangal Urban,Dharmasagar
Mandal_District_32_3,Warangal Urban,Elkathurthi
Mandal_District_32_4,Warangal Urban,Hanamkonda
Mandal_District_32_5,Warangal Urban,Hasanparthy
Mandal_District_32_6,Warangal Urban,Inole
Mandal_District_32_7,Warangal Urban,Kamalapur
Mandal_District_32_8,Warangal Urban,Khazipet
Mandal_District_32_9,Warangal Urban,Khilla_Warangal
Mandal_District_32_10,Warangal Urban,Velair
Mandal_District_32_11,Warangal Urban,Warangal
Mandal_District_33_1,Yadadri-Bhongir,Addagudur
Mandal_District_33_2,Yadadri-Bhongir,Alair
Mandal_District_33_3,Yadadri-Bhongir,Atmakur_M
Mandal_District_33_4,Yadadri-Bhongir,Bhongiri
Mandal_District_33_5,Yadadri-Bhongir,Bibinagar
Mandal_District_33_6,Yadadri-Bhongir,Bommalaramaram
Mandal_District_33_7,Yadadri-Bhongir,Choutuppal
Mandal_District_33_8,Yadadri-Bhongir,Gundala
Mandal_District_33_9,Yadadri-Bhongir,Mootakondur
Mandal_District_33_10,Yadadri-Bhongir,Mothkur
Mandal_District_33_11,Yadadri-Bhongir,Narayanapur
Mandal_District_33_12,Yadadri-Bhongir,Pochampalle
Mandal_District_33_13,Yadadri-Bhongir,Rajapet
Mandal_District_33_14,Yadadri-Bhongir,Ramannapeta
Mandal_District_33_15,Yadadri-Bhongir,Turkapalle_M
Mandal_District_33_16,Yadadri-Bhongir,Valigonda
Mandal_District_33_17,Yadadri-Bhongir,Yadagirigutta
