Placeholder,District,Mandal
Mandal_District_3_8,Hyderabad,Himayatnagar
Mandal_District_3_9,Hyderabad,Khairatabad
Mandal_District_3_10,Hyderabad,Maredpally
Mandal_District_3_11,Hyderabad,Musheerabad
Mandal_District_3_12,Hyderabad,Nampally
Mandal_District_3_13,Hyderabad,Saidabad
Mandal_District_3_14,Hyderabad,Secunderabad
Mandal_District_3_15,Hyderabad,Shaikpet
Mandal_District_3_16,Hyderabad,Tirumalgiri
Mandal_District_4_1,Jagtial,Beerpur
Mandal_District_4_2,Jagtial,Buggaram
Mandal_District_4_3,Jagtial,Dharmapuri
Mandal_District_4_4,Jagtial,Gollapalle
Mandal_District_4_5,Jagtial,Ibrahimpatnam
Mandal_District_4_6,Jagtial,Jagityal_Rural
Mandal_District_4_7,Jagtial,Jagtial
Mandal_District_4_8,Jagtial,Kathlapur
Mandal_District_4_9,Jagtial,Kodimial
Mandal_District_4_10,Jagtial,Koratla
Mandal_District_4_11,Jagtial,Malial
Mandal_District_4_12,Jagtial,Mallapur
Mandal_District_4_13,Jagtial,Medipalle
Mandal_District_4_14,Jagtial,Metpalle
Mandal_District_4_15,Jagtial,Pegadapalle
Mandal_District_4_16,Jagtial,Raikal
Mandal_District_4_17,Jagtial,Sarangapur
Mandal_District_4_18,Jagtial,Velgatoor
Mandal_District_5_1,Jangaon,Bachannapeta
Mandal_District_5_2,Jangaon,Chilpur
Mandal_District_5_3,Jangaon,Devaruppala
Mandal_District_5_4,Jangaon,Ganpur_Stn
Mandal_District_5_5,Jangaon,Jangaon
Mandal_District_5_6,Jangaon,Kodakandla
Mandal_District_5_7,Jangaon,Lingalaghanpur
Mandal_District_5_8,Jangaon,Narmetta
Mandal_District_5_9,Jangaon,Palakurthi
Mandal_District_5_10,Jangaon,Raghunathpalle
Mandal_District_5_11,Jangaon,Tharigoppula
Mandal_District_5_12,Jangaon,Zaffergadh
Mandal_District_6_1,Jayashankar-Bhupalpally,Bhupalpalle
Mandal_District_6_2,Jayashankar-Bhupalpally,Chityal
Mandal_District_6_3,Jayashankar-Bhupalpally,Ghanapur_Mulug
Mandal_District_6_4,Jayashankar-Bhupalpally,Kataram
Mandal_District_6_5,Jayashankar-Bhupalpally,Mahadevpur
Mandal_District_6_6,Jayashankar-Bhupalpally,Malharrao
Mandal_District_6_7,Jayashankar-Bhupalpally,Mogullapalle
Mandal_District_6_8,Jayashankar-Bhupalpally,Mutharam_Mahadevpur
Mandal_District_6_9,Jayashankar-Bhupalpally,Palmela
Mandal_District_6_10,Jayashankar-Bhupalpally,Regonda
Mandal_District_6_11,Jayashankar-Bhupalpally,Tekumatla
Mandal_District_7_1,Jogulamba-Gadwal,Aiza
Mandal_District_7_2,Jogulamba-Gadwal,Alampur
Mandal_District_7_3,Jogulamba-Gadwal,Dharur
Mandal_District_7_4,Jogulamba-Gadwal,Gadwal
Mandal_District_7_5,Jogulamba-Gadwal,Ghattu
Mandal_District_7_6,Jogulamba-Gadwal,Itikyal
Mandal_District_7_7,Jogulamba-Gadwal,Kaloor_Timmanadoddi
Mandal_District_7_8,Jogulamba-Gadwal,Maldakal
Mandal_District_7_9,Jogulamba-Gadwal,Manopad
Mandal_District_7_10,Jogulamba-Gadwal,Rajoli
Mandal_District_7_11,Jogulamba-Gadwal,Undavelli
Mandal_District_7_12,Jogulamba-Gadwal,Waddepalle
Mandal_District_8_1,Kamareddy,Banswada
Mandal_District_8_2,Kamareddy,Bhiknur
Mandal_District_8_3,Kamareddy,Bibipet
Mandal_District_8_4,Kamareddy,Bichkunda
Mandal_District_8_5,Kamareddy,Birkoor
Mandal_District_8_6,Kamareddy,Domakonda
Mandal_District_8_7,Kamareddy,Gandhari
Mandal_District_8_8,Kamareddy,Jukkal
Mandal_District_8_9,Kamareddy,Kamareddy
Mandal_District_8_10,Kamareddy,Lingampet
Mandal_District_8_11,Kamareddy,Machareddy
Mandal_District_8_12,Kamareddy,Madnur
Mandal_District_8_13,Kamareddy,Naga_Reddipet
Mandal_District_8_14,Kamareddy,Nasurullabad
Mandal_District_8_15,Kamareddy,Nizamsagar
Mandal_District_8_16,Kamareddy,Pedda Kodapgal
Mandal_District_8_17,Kamareddy,Pitlam
Mandal_District_8_18,Kamareddy,Rajampet
Mandal_District_8_19,Kamareddy,Ramareddy
Mandal_District_8_20,Kamareddy,Sadasivanagar
Mandal_District_8_21,Kamareddy,Tadwai
Mandal_District_8_22,Kamareddy,Yellareddy
Mandal_District_9_1,Karimnagar,Chigurumamidi
Mandal_District_9_2,Karimnagar,Choppadandi
Mandal_District_9_3,Karimnagar,Ellandakunta
Mandal_District_9_4,Karimnagar,Gangadhara
Mandal_District_9_5,Karimnagar,Gannervaram
Mandal_District_9_6,Karimnagar,Huzurabad
Mandal_District_9_7,Karimnagar,Jammikunta
Mandal_District_9_8,Karimnagar,Karimnagar
Mandal_District_9_9,Karimnagar,Karimnagar_Rural
Mandal_District_9_10,Karimnagar,Kothapalle
Mandal_District_9_11,Karimnagar,Manakondur
